ik,n,t,eps,lam_1s,E0eff_1s,lam
9,5,0.258065,0.6479188759,0.0007540906484701389,0.37605961798623677,0.0007540906484701389
9,6,0.258065,0.6503359273,0.0007739757790849134,0.37736084293180217,0.0007739757790849134
9,7,0.258065,0.7256196435,0.0006161387816596087,0.3598786856844575,0.0006161387816596087
9,8,0.258065,0.7741411913,0.000492720503580487,0.34054360484070006,0.000492720503580487
10,1,0.290323,-0.0768616418,0.010823374509050934,0.613210740291061,0.010823374509050934
10,2,0.290323,0.4559130821,0.0011884656899197683,0.41005614273713076,0.0011884656899197683
10,3,0.290323,0.4900925673,0.000843378477103074,0.3747660888526542,0.000843378477103074
10,4,0.290323,0.5183136228,0.0007509911336846717,0.365209119446906,0.0007509911336846717
10,5,0.290323,0.6400483552,0.000802217792600113,0.3803457832650676,0.000802217792600113
10,6,0.290323,0.6421619856,0.0007653007577892434,0.3774447654149113,0.0007653007577892434
10,7,0.290323,0.7245075249,0.0006127905475848555,0.35936309532603583,0.0006127905475848555
10,8,0.290323,0.7818407145,0.0004803871708759676,0.33866884252646606,0.0004803871708759676
11,1,0.322581,-0.0735195041,0.010651404384416994,0.6116477735578216,0.010651404384416994
11,2,0.322581,0.4390665084,0.001304534921766218,0.41879507036382274,0.001304534921766218
11,3,0.322581,0.4824499489,0.0008752868131723662,0.3780429127044856,0.0008752868131723662
11,4,0.322581,0.5141061676,0.000776233081367013,0.3683778247030696,0.000776233081367013
11,5,0.322581,0.6301686603,0.0008301580309746172,0.38320338282664385,0.0008301580309746172
11,6,0.322581,0.6376697418,0.0007768606397728937,0.3789382639458666,0.0007768606397728937
11,7,0.322581,0.7243821163,0.0006071272439185318,0.3585311976674711,0.0006071272439185318
11,8,0.322581,0.7902030679,0.0004684329348696702,0.33687066018814454,0.0004684329348696702
12,1,0.354839,-0.0698266343,0.01046342651092695,0.6099062505812676,0.01046342651092695
12,2,0.354839,0.4216933981,0.0014270985905785502,0.4271538945442852,0.0014270985905785502
12,3,0.354839,0.4749038422,0.0009067664164544455,0.38114107403116027,0.0009067664164544455
12,4,0.354839,0.509696809,0.0008024972544259504,0.37155298823341526,0.0008024972544259504
12,5,0.354839,0.6207134729,0.0008575926134154505,0.3859149230239103,0.0008575926134154505
12,6,0.354839,0.6342261396,0.0007891651727403397,0.3805685128126765,0.0007891651727403397
12,7,0.354839,0.7251970283,0.0005994136121826402,0.35740900603857195,0.0005994136121826402
12,8,0.354839,0.799157019,0.000457061954552756,0.33518980357886524,0.000457061954552756
13,1,0.387097,-0.0657842534,0.010261999076330929,0.6080057297725029,0.010261999076330929
13,2,0.387097,0.4040199539,0.001556176681970449,0.4351769170744004,0.001556176681970449
13,3,0.387097,0.4675226022,0.0009377541040525377,0.3840789190350378,0.0009377541040525377
13,4,0.387097,0.5051505855,0.0008294502233362012,0.3746956789175344,0.0008294502233362012
13,5,0.387097,0.6116940632,0.0008845479557718103,0.38850282187171425,0.0008845479557718103
13,6,0.387097,0.6316514295,0.0008024590086740058,0.3823560325989757,0.0008024590086740058
13,7,0.387097,0.7269013316,0.0005900042171166337,0.35604251887848404,0.0005900042171166337
13,8,0.387097,0.8086330443,0.00044647311459845916,0.33367131974353187,0.00044647311459845916
14,1,0.419355,-0.061394208,0.01004768471236829,0.6059413450569276,0.01004768471236829
14,2,0.419355,0.3862247164,0.0016918372439590163,0.44289639382261925,0.0016918372439590163
14,3,0.419355,0.4603597667,0.0009679635468604219,0.38683622339555296,0.0009679635468604219
14,4,0.419355,0.5005306246,0.0008566190206289225,0.3777466560157404,0.0008566190206289225
14,5,0.419355,0.6031183245,0.0009108028479718741,0.3909461541667194,0.0009108028479718741
14,6,0.419355,0.6298015078,0.000816595459366211,0.3842605991842809,0.000816595459366211
14,7,0.419355,0.7294423852,0.0005791882508727307,0.3544635323367052,0.0005791882508727307
14,8,0.419355,0.8185598905,0.00043686096784239647,0.3323643602617932,0.00043686096784239647
15,1,0.451613,-0.0566591685,0.0098206282126857,0.6037018712334492,0.0098206282126857
15,2,0.451613,0.3684467475,0.0018343014292081861,0.450349980935557,0.0018343014292081861
15,3,0.451613,0.4534574237,0.0009974216538983257,0.3894411923938968,0.0009974216538983257
15,4,0.451613,0.4958965148,0.000883755589969494,0.38069073355128036,0.000883755589969494
