ik,n,t,eps,lam_1s,E0eff_1s,lam_2s,E0eff_2s,lam_2p,E0eff_2p,lam
32,2,0.65316,0.5273961568,2.3544539254043516e-06,2.768201214691367,0.00018708626497466506,0.2740580425234369,0.028985218329405822,3.090569533851089,0.029174659048305893
32,3,0.65316,0.5918211825,2.330644416364267e-06,2.7634452121653093,0.00014968155127895522,0.2586157206930418,0.02813720219090669,3.0222720537593326,0.02828921438660201
32,4,0.65316,0.5918211825,2.3306444163720875e-06,2.7634452121649953,0.0001496815512790744,0.25861572069292144,0.02813720219096529,3.022272053757291,0.028289214386660735
32,5,0.65316,0.5938183381,2.3221224857353363e-06,2.7614555602444857,0.00014758222495184879,0.25846733483258133,0.027756463204268812,3.011918414473498,0.027906367551706397
32,6,0.65316,0.7150002855,2.3053721226863502e-06,2.7597232727889116,0.0001349950400362302,0.25638295785249626,0.025393910969120245,2.988021842915644,0.025531211381279163
32,7,0.65316,1.189662331,2.0847973228818428e-06,2.7102972340243516,1.813148418697277e-05,0.1430496683813713,0.013119345637805604,2.4299361077009505,0.01313956191931546
32,8,0.65316,1.2244270606,2.0776226672627674e-06,2.7089229807853537,1.6072659243290174e-05,0.13728919407310242,0.012603935968396061,2.4065930887260247,0.012622086250306615
33,1,0.65431,0.0886503036,2.5052159903655938e-06,2.795829874540247,0.0005608672140461311,0.3473653101690275,0.019543999631679274,3.4536174010974725,0.02010737206171577
33,2,0.65431,0.5264590096,2.3547814235343265e-06,2.768264062415695,0.00018755858671303525,0.2742207634230705,0.02899849211624746,3.091383287672211,0.02918840548438403
33,3,0.65431,0.5915960032,2.330731999842047e-06,2.763462676552717,0.00014977963065013203,0.258656805324961,0.02814206309063526,3.022485998969777,0.028294173453285235
33,4,0.65431,0.5915960032,2.3307319998219965e-06,2.763462676552642,0.00014977963064876704,0.25865680532494334,0.028142063090383616,3.022485998969303,0.028294173453032204
33,5,0.65431,0.5935600875,2.3222092199944307e-06,2.7614722727195335,0.00014768166140124948,0.258509092256061,0.027761714227892753,3.0121302379804384,0.027911718098513998
33,6,0.65431,0.7147792023,2.3054464542613293e-06,2.759738003344949,0.00013508895510108728,0.2564292069314515,0.025397639776719296,2.988235759572657,0.025535034178274643
33,7,0.65431,1.1900562148,2.0846302052620298e-06,2.7102582725561173,1.8099383211683456e-05,0.14296833701681183,0.013110847242013439,2.429527590317282,0.013131031255430385
33,8,0.65431,1.2249797679,2.077386795849017e-06,2.7088679187422673,1.6034840737902615e-05,0.13718685223353047,0.012592492532986523,2.4060433772282424,0.012610604760520274
