r_bohr,u_c,V_H_c
0.70400,2.53865822e-04,1.42045455e+00
0.70600,2.45622118e-04,1.41643059e+00
0.70800,2.37645095e-04,1.41242938e+00
0.71000,2.29926164e-04,1.40845070e+00
0.71200,2.22457014e-04,1.40449438e+00
0.71400,2.15229600e-04,1.40056022e+00
0.71600,2.08236133e-04,1.39664804e+00
0.71800,2.01469074e-04,1.39275766e+00
0.72000,1.94921127e-04,1.38888889e+00
0.72200,1.88585227e-04,1.38504155e+00
0.72400,1.82454540e-04,1.38121547e+00
0.72600,1.76522446e-04,1.37741047e+00
0.72800,1.70782541e-04,1.37362637e+00
0.73000,1.65228624e-04,1.36986301e+00
0.73200,1.59854695e-04,1.36612022e+00
0.73400,1.54654946e-04,1.36239782e+00
0.73600,1.49623755e-04,1.35869565e+00
0.73800,1.44755680e-04,1.35501355e+00
0.74000,1.40045456e-04,1.35135135e+00
0.74200,1.35487983e-04,1.34770889e+00
0.74400,1.31078330e-04,1.34408602e+00
0.74600,1.26811720e-04,1.34048257e+00
0.74800,1.22683533e-04,1.33689840e+00
0.75000,1.18689295e-04,1.33333333e+00
0.75200,1.14824677e-04,1.32978723e+00
0.75400,1.11085490e-04,1.32625995e+00
0.75600,1.07467677e-04,1.32275132e+00
0.75800,1.03967315e-04,1.31926121e+00
0.76000,1.00580605e-04,1.31578947e+00
0.76200,9.73038713e-05,1.31233596e+00
0.76400,9.41335556e-05,1.30890052e+00
0.76600,9.10662149e-05,1.30548303e+00
0.76800,8.80985170e-05,1.30208333e+00
0.77000,8.52272369e-05,1.29870130e+00
0.77200,8.24492536e-05,1.29533679e+00
0.77400,7.97615466e-05,1.29198966e+00
0.77600,7.71611929e-05,1.28865979e+00
0.77800,7.46453635e-05,1.28534704e+00
0.78000,7.22113208e-05,1.28205128e+00
0.78200,6.98564154e-05,1.27877238e+00
0.78400,6.75780833e-05,1.27551020e+00
0.78600,6.53738435e-05,1.27226463e+00
0.78800,6.32412946e-05,1.26903553e+00
0.79000,6.11781130e-05,1.26582278e+00
0.79200,5.91820502e-05,1.26262626e+00
0.79400,5.72509299e-05,1.25944584e+00
0.79600,5.53826464e-05,1.25628141e+00
0.79800,5.35751618e-05,1.25313283e+00
0.80000,5.18265043e-05,1.25000000e+00
0.80200,5.01347654e-05,1.24688279e+00
0.80400,4.84980987e-05,1.24378109e+00
0.80600,4.69147170e-05,1.24069479e+00
0.80800,4.53828912e-05,1.23762376e+00
0.81000,4.39009480e-05,1.23456790e+00
0.81200,4.24672683e-05,1.23152709e+00
0.81400,4.10802850e-05,1.22850123e+00
0.81600,3.97384822e-05,1.22549020e+00
0.81800,3.84403925e-05,1.22249389e+00
0.82000,3.71845964e-05,1.21951220e+00
0.82200,3.59697202e-05,1.21654501e+00
0.82400,3.47944345e-05,1.21359223e+00
0.82600,3.36574530e-05,1.21065375e+00
0.82800,3.25575313e-05,1.20772947e+00
0.83000,3.14934648e-05,1.20481928e+00
0.83200,3.04640884e-05,1.20192308e+00
0.83400,2.94682743e-05,1.19904077e+00
0.83600,2.85049316e-05,1.19617225e+00
0.83800,2.75730045e-05,1.19331742e+00
0.84000,2.66714714e-05,1.19047619e+00
0.84200,2.57993441e-05,1.18764846e+00
0.84400,2.49556659e-05,1.18483412e+00
0.84600,2.41395117e-05,1.18203310e+00
0.84800,2.33499860e-05,1.17924528e+00
0.85000,2.25862223e-05,1.17647059e+00
0.85200,2.18473826e-05,1.17370892e+00
0.85400,2.11326556e-05,1.17096019e+00
0.85600,2.04412565e-05,1.16822430e+00
0.85800,1.97724262e-05,1.16550117e+00
0.86000,1.91254298e-05,1.16279070e+00
0.86200,1.84995566e-05,1.16009281e+00
0.86400,1.78941188e-05,1.15740741e+00
0.86600,1.73084508e-05,1.15473441e+00
0.86800,1.67419089e-05,1.15207373e+00
0.87000,1.61938701e-05,1.14942529e+00
0.87200,1.56637317e-05,1.14678899e+00
0.87400,1.51509105e-05,1.14416476e+00
0.87600,1.46548423e-05,1.14155251e+00
0.87800,1.41749812e-05,1.13895216e+00
0.88000,1.37107991e-05,1.13636364e+00
0.88200,1.32617849e-05,1.13378685e+00
0.88400,1.28274443e-05,1.13122172e+00
0.88600,1.24072990e-05,1.12866817e+00
0.88800,1.20008862e-05,1.12612613e+00
0.89000,1.16077580e-05,1.12359551e+00
0.89200,1.12274814e-05,1.12107623e+00
0.89400,1.08596373e-05,1.11856823e+00
0.89600,1.05038201e-05,1.11607143e+00
0.89800,1.01596377e-05,1.11358575e+00
0.90000,9.82671040e-06,1.11111111e+00
0.90200,9.50467109e-06,1.10864745e+00
0.90400,9.19316454e-06,1.10619469e+00
0.90600,8.89184706e-06,1.10375276e+00
